customer_id,name,n_orders,total_spend,last_order_date,frequency_segment,spend_tier,recency_days,R_score,F_score,M_score,RFM_score
42,Sierra Johnson,3,6597.66,2026-04-02,occasional,medium,101,3,2,2,7
43,Janet Williams,4,2556.19,2025-12-31,loyal,low,193,2,2,1,5
44,Crystal Johnson,2,5803.14,2026-02-25,occasional,medium,137,3,1,2,6
45,Martin Ross,4,8318.38,2026-07-04,loyal,medium,8,4,2,3,9
46,Mrs. Linda Reed,2,3819.86,2025-10-12,occasional,low,273,1,1,1,3
47,Andrew Graham,3,8657.4,2025-04-14,occasional,medium,454,1,2,3,6
48,Mary Martinez,2,1520.66,2024-10-02,occasional,low,648,1,1,1,3
49,Cheryl Ortega,2,3447.0,2025-06-07,occasional,low,400,1,1,1,3
50,Roy Torres,4,7677.48,2026-04-30,loyal,medium,73,3,2,3,8
51,Michael Dixon,3,5881.63,2025-09-30,occasional,medium,285,1,2,2,5
52,Robert Potter,4,10355.09,2026-03-23,loyal,high,111,3,2,3,8
53,Miss Patricia Gibson,2,4643.35,2025-12-11,occasional,low,213,2,1,2,5
54,Abigail Potter,1,2737.01,2024-12-15,one-time,low,574,1,1,1,3
55,David Charles,3,4326.19,2026-06-27,occasional,low,15,4,2,2,8
56,Emily Fischer,1,2056.35,2025-11-15,one-time,low,239,2,1,1,4
57,Jill Moore,5,12365.97,2026-07-04,loyal,high,8,4,3,4,11
58,Richard Washington,2,507.04,2026-04-17,occasional,low,86,3,1,1,5
59,Steven Miller,4,7427.49,2026-06-26,loyal,medium,16,4,2,2,8
60,Gary Owens,6,10425.76,2025-12-25,loyal,high,199,2,4,3,9
61,Spencer Johnston,8,16006.62,2026-05-18,loyal,high,55,3,4,4,11
63,Michael Powell,2,2325.41,2026-04-10,occasional,low,93,3,1,1,5
64,Leslie Alvarado,2,2058.59,2025-06-29,occasional,low,378,1,1,1,3
65,Garrett Gibson,4,6217.95,2025-11-12,loyal,medium,242,2,2,2,6
66,Alec Ryan,1,252.18,2024-09-19,one-time,low,661,1,1,1,3
67,Alex Hernandez,2,7351.55,2026-03-01,occasional,medium,133,3,1,2,6
68,Jacob Obrien,5,11422.78,2026-07-07,loyal,high,5,4,3,4,11
69,Eric Byrd,2,4329.35,2026-02-19,occasional,low,143,2,1,2,5
70,Lori Garcia,7,16881.99,2026-03-28,loyal,high,106,3,4,4,11
71,Jeffrey Wood,9,17164.77,2026-05-25,loyal,high,48,3,4,4,11
72,Steven Stevens,5,7909.53,2026-06-08,loyal,medium,34,4,3,3,10
73,Kimberly Webb,4,8479.11,2025-08-07,loyal,medium,339,1,2,3,6
74,Timothy Ramirez,6,11295.86,2025-11-28,loyal,high,226,2,4,4,10
75,Allen Rosales,4,7962.96,2025-08-12,loyal,medium,334,1,2,3,6
76,Meredith Hill,2,2968.08,2025-04-11,occasional,low,457,1,1,1,3
77,Peter Vaughn DDS,2,2326.19,2025-08-24,occasional,low,322,1,1,1,3
78,David Beck,5,7876.44,2026-06-17,loyal,medium,25,4,3,3,10
79,Heather Chavez,3,5936.71,2026-06-16,occasional,medium,26,4,2,2,8
80,Pamela Lopez,9,18470.0,2026-03-13,loyal,high,121,3,4,4,11
81,Diane Garcia,6,12996.76,2026-07-05,loyal,high,7,4,4,4,12
82,Denise Mccann,2,4028.08,2025-10-07,occasional,low,278,1,1,1,3
83,Julie Alexander,5,12502.77,2026-05-10,loyal,high,63,3,3,4,10
84,John Ray,5,5534.87,2026-05-04,loyal,medium,69,3,3,2,8
85,Justin Butler,1,187.36,2026-05-24,one-time,low,49,3,1,1,5
86,Jessica Carroll,3,5118.91,2025-11-05,occasional,low,249,2,2,2,6
87,Brad Allen,4,7368.21,2025-05-12,loyal,medium,426,1,3,2,6
88,David Mann,1,750.82,2024-10-28,one-time,low,622,1,1,1,3
89,Mary Peck,7,21058.03,2026-02-20,loyal,high,142,2,4,4,10
90,Charles Brown,9,16929.29,2025-12-29,loyal,high,195,2,4,4,10
91,Melissa Bender,5,16262.07,2026-05-12,loyal,high,61,3,3,4,10
92,Lindsey Johnson,3,2267.55,2025-09-05,occasional,low,310,1,2,1,4
93,Phillip Underwood,5,14816.69,2025-10-26,loyal,high,259,2,3,4,9
94,Catherine Richards,5,9324.89,2026-01-27,loyal,high,166,2,3,3,8
95,Brian Martin,5,7167.3,2026-04-26,loyal,medium,77,3,3,2,8
96,Krista Gibson,4,5918.87,2025-11-22,loyal,medium,232,2,3,2,7
97,Sean Murray,1,1192.35,2025-11-10,one-time,low,244,2,1,1,4
98,Christina Dunn,3,4049.33,2025-08-26,occasional,low,320,1,2,1,4
99,Cynthia Moore,4,4929.12,2025-12-21,loyal,low,203,2,3,2,7
100,Ronnie Jimenez,4,7907.31,2025-12-10,loyal,medium,214,2,3,3,8
101,Juan Reyes,1,1839.16,2025-09-06,one-time,low,309,1,1,1,3
102,Debra Smith,5,11273.82,2025-09-16,loyal,high,299,1,3,4,8
103,Mr. Phillip Bennett,5,15779.17,2025-12-21,loyal,high,203,2,3,4,9
104,Amanda Garner,2,2688.02,2025-07-15,occasional,low,362,1,1,1,3
105,Andrew Shaw MD,4,4756.6,2025-03-19,loyal,low,480,1,3,2,6
106,Charles Pitts,4,7624.05,2026-05-11,loyal,medium,62,3,3,3,9
107,Marie Christian,5,11032.99,2026-02-25,loyal,high,137,3,3,4,10
108,Joshua Williamson II,1,3482.23,2025-09-10,one-time,low,305,1,1,1,3
109,Ashlee Jackson,2,5449.84,2025-10-04,occasional,low,281,1,1,2,4
110,Charles Schmidt,1,2655.75,2025-11-11,one-time,low,243,2,1,1,4
111,Thomas Thomas,6,14341.84,2026-05-25,loyal,high,48,3,4,4,11
112,Julie Roberts,6,14402.23,2026-06-22,loyal,high,20,4,4,4,12
113,Melissa Bryant,4,7369.47,2026-05-05,loyal,medium,68,3,3,2,8
114,Laura Haney,6,12495.53,2026-07-06,loyal,high,6,4,4,4,12
115,Natasha Williams,2,2777.59,2026-06-23,occasional,low,19,4,1,1,6
116,Mark Oliver,8,14051.97,2026-05-24,loyal,high,49,3,4,4,11
117,Amanda Diaz,9,15394.99,2026-04-15,loyal,high,88,3,4,4,11
118,Richard Walter,3,7484.92,2026-01-17,occasional,medium,176,2,2,2,6
119,Tracy Phillips,2,1223.79,2026-06-26,occasional,low,16,4,1,1,6
120,Michael Craig,7,17350.17,2026-02-03,loyal,high,159,2,4,4,10
121,Alexis Herrera,7,12776.42,2026-06-21,loyal,high,21,4,4,4,12
123,Maria Reid,1,2205.19,2025-04-06,one-time,low,462,1,1,1,3
124,Tracy Torres,2,2867.22,2026-05-27,occasional,low,46,4,1,1,6
126,Sandra Gilbert,4,6601.29,2026-06-18,loyal,medium,24,4,3,2,9
127,Jack Pollard,4,7228.96,2025-11-17,loyal,medium,237,2,3,2,7
128,Tiffany Holloway,5,9849.0,2025-08-28,loyal,high,318,1,3,3,7
129,Gavin Zhang,4,7406.48,2026-06-23,loyal,medium,19,4,3,2,9
130,Crystal Schroeder,2,4265.45,2025-09-06,occasional,low,309,1,1,2,4
131,Ashley Delacruz,3,8148.68,2026-04-16,occasional,medium,87,3,2,3,8
132,Derek Martinez,4,7527.59,2025-06-26,loyal,medium,381,1,3,3,7
133,Kayla Rodriguez,1,1919.97,2025-02-08,one-time,low,519,1,1,1,3
135,Jill Lam,5,12093.66,2025-08-27,loyal,high,319,1,4,4,9
136,Michelle James,4,6483.67,2025-12-27,loyal,medium,197,2,3,2,7
138,Jason Davis,2,4262.02,2026-06-04,occasional,low,38,4,1,2,7
139,Kara Davis,3,6200.84,2026-03-08,occasional,medium,126,3,2,2,7
140,Anthony Frye,5,11461.44,2026-06-30,loyal,high,12,4,4,4,12
142,John Boone,3,7796.63,2025-07-22,occasional,medium,355,1,2,3,6
143,Sarah Villegas,2,5397.92,2026-02-19,occasional,low,143,2,1,2,5
144,Michael Parker,1,911.88,2025-12-02,one-time,low,222,2,1,1,4
145,Patrick Bonilla,7,12077.21,2026-01-26,loyal,high,167,2,4,4,10
147,Jeremy Coleman,6,11134.31,2026-06-01,loyal,high,41,4,4,4,12
148,Douglas Gregory,4,9116.87,2026-02-22,loyal,medium,140,3,3,3,9
149,Mrs. Christine Dougherty,3,4171.45,2025-07-30,occasional,low,347,1,2,1,4
150,Casey James,3,6501.6,2026-01-12,occasional,medium,181,2,2,2,6
151,Amanda Smith,5,7929.92,2026-07-11,loyal,medium,1,4,4,3,11
152,Donna Sullivan,1,3005.81,2025-10-05,one-time,low,280,1,1,1,3
153,Ryan Sanchez,4,7831.01,2026-04-07,loyal,medium,96,3,3,3,9
154,Richard Jones,2,1974.58,2026-03-07,occasional,low,127,3,2,1,6
155,Maria Hernandez,6,6609.38,2025-05-21,loyal,medium,417,1,4,2,7
156,Angela Bean,5,7042.89,2026-05-14,loyal,medium,59,3,4,2,9
157,Kristy Reid,4,8264.03,2026-06-14,loyal,medium,28,4,3,3,10
158,Eric Hill,6,7144.18,2026-06-01,loyal,medium,41,4,4,2,10
159,Ronald Jones,6,9246.62,2026-05-30,loyal,high,43,4,4,3,11
160,Nancy Williams,4,7984.43,2026-05-25,loyal,medium,48,3,3,3,9
161,Robert Monroe,6,16481.27,2026-04-12,loyal,high,91,3,4,4,11
162,Kelly Bishop MD,5,11839.02,2025-10-16,loyal,high,269,1,4,4,9
163,Andrea Davis,3,9872.04,2026-06-08,occasional,high,34,4,2,3,9
164,Brittany Miller,6,16080.71,2026-03-04,loyal,high,130,3,4,4,11
165,Kurt Hurley,5,11029.12,2026-02-22,loyal,high,140,3,4,3,10
166,Yolanda Gaines,5,11902.04,2026-02-05,loyal,high,157,2,4,4,10
167,Trevor Peterson,4,8408.42,2025-02-25,loyal,medium,502,1,3,3,7
168,Ashley Wise,4,5790.35,2026-02-14,loyal,medium,148,2,3,2,7
170,Jeremy Mitchell,6,15689.23,2026-06-25,loyal,high,17,4,4,4,12
171,Stephanie Lee,7,13790.2,2026-02-12,loyal,high,150,2,4,4,10
172,Christopher Gonzalez,3,4669.8,2025-10-31,occasional,low,254,2,2,2,6
173,Ashley Singleton,3,10726.61,2026-05-08,occasional,high,65,3,2,3,8
174,Sandra Davis,9,22741.62,2026-07-06,loyal,high,6,4,4,4,12
175,James Hughes,3,4116.05,2025-10-29,occasional,low,256,2,2,1,5
176,Raven Taylor,4,10336.26,2026-06-28,loyal,high,14,4,3,3,10
177,Susan Smith,5,7956.92,2026-07-04,loyal,medium,8,4,4,3,11
178,Ricardo Young,4,7707.69,2026-05-24,loyal,medium,49,3,3,3,9
179,Taylor Carlson,5,11167.21,2025-11-20,loyal,high,234,2,4,4,10
180,Lucas Allen,5,9634.07,2026-03-25,loyal,high,109,3,4,3,10
181,Troy Stephens,4,4032.65,2026-05-28,loyal,low,45,4,3,1,8
182,Paul Kelly,8,16010.53,2026-06-09,loyal,high,33,4,4,4,12
183,Nicole Anderson,5,10204.37,2026-06-11,loyal,high,31,4,4,3,11
184,Chad Baldwin,3,1910.38,2025-11-04,occasional,low,250,2,2,1,5
185,Emily Collins,4,11855.61,2025-12-19,loyal,high,205,2,3,4,9
186,Cheryl Kelly,3,4401.68,2026-06-17,occasional,low,25,4,2,2,8
187,James Gonzales,2,2533.37,2025-03-09,occasional,low,490,1,2,1,4
189,Edward Garcia,2,4383.98,2026-06-10,occasional,low,32,4,2,2,8
190,Jeremy West,3,9237.72,2025-12-17,occasional,high,207,2,2,3,7
191,Angela Walsh,4,7981.56,2026-06-17,loyal,medium,25,4,3,3,10
192,Jessica Martinez,3,8211.77,2026-06-07,occasional,medium,35,4,2,3,9
193,Christian Cole,5,7470.4,2026-06-27,loyal,medium,15,4,4,2,10
194,Matthew Wright,3,6205.79,2025-11-27,occasional,medium,227,2,2,2,6
196,Mrs. Brandy Jones MD,6,12868.82,2026-05-18,loyal,high,55,3,4,4,11
198,Curtis Taylor,4,8841.07,2025-12-18,loyal,medium,206,2,3,3,8
199,Kristen Salazar,4,9166.97,2026-07-09,loyal,medium,3,4,3,3,10
200,Patricia Morrow,9,17466.51,2026-04-06,loyal,high,97,3,4,4,11
